1,CC(C)C(=O)c1cc(C(=O)c2ccc(Oc3ccccc3)cc2)c(O)c(O)c1O,00000000000000000000000000000000000000000000000000000110000000000000000010100000000000000100000000000000000000000100000000000111000100001001100111100110101001011011110
2,NC(=N)N[C@H](C1CCCCC1)C(=O)NCC(=O)N1CCC(CC1)c1cc(n[nH]1)-c1ccc(Cl)cc1Cl,00000000000000000000000001000000000000000001000000001010000000100100010000010111101111110011101110101001001100110000011111101100110110101110001011011011011110110111110
3,Cn1ncc2c1nc(-c1ccccc1)c1c2[nH]n(-c2ccc(Cl)cc2)c1=O,00000000000000000000000000000000000000100000000000001000000000100100010000010101100100010000111111100101010100100100010011101101001001110100001111001011001010101111110
4,OC(=O)[C@H](Cc1c[nH]c2ccccc12)NC(=O)c1ccccc1Br,00000000000000000000000000000000000000000000001000000010000000000100000000000000000100010011100110000100110100110000010001010100000100101101001011100011001111110111110
5,CNC(=O)c1ccc(O[C@H](C)C(=O)N2CCN(C[C@H]2C)C(=O)c2ccccc2)cc1,00000000000000000000000000000000000000000000000000000000000000000000000010010001000001100000110100101000000010110101111011100111110000001110111101111111111011111111110
7,Cc1cc2CN(CCc2c(C)c1C(=O)N[C@@H](CNC(=O)c1cccs1)C(O)=O)C(=O)c1ccc(Cl)cc1,00000000000000000000000000000000000010000000000000000110000000000000000000010001011101111010100111101101110110110000111011110100110100101111101011111111011111111111110
8,CN1c2ncnn2[C@H](C2=C1c1ccccc1O[C@@H]2c1ccc(Br)cc1)c1ccc(cc1)C#N,00000000000000000000000001100000000000000100011000101000010000100100000000011101100101010000011011110100011100000100000011101100000000110100001011001000100011101111110
9,C[C@H](N)C(=O)Nc1ccc2c(C)cc(C)nc2n1,00000000000000000000000000000000000000100000000000000010000000000100000000000101100010000000100101100100010000100000010011000100000101010100011001000101001010101111110
10,CN[C@@H](C)C(=O)N[C@@H]([C@@H](C)O)C(=O)N1CC[C@@H]2[C@H]1[C@H](CN2c1ncccn1)c1c[nH]c2cc(F)ccc12,00000000000000000000000001000000000000000010000000000010000000100100000000010101100101010101110111101100011100110000011011100100110101111111011001111101111011111111110
11,CN(C)CCCN1c2ccc(I)cc2C(=O)N(Cc2ccc(Cl)cc2N)[C@@H](c2ccc(Cl)cc2)C1=O,00000000000000000001000000010000000000000000000000000000000000100000000000110001100011110010110101001101010110110001111011100101000001111110001111011111011110111111110
12,Oc1c(Cl)cc(Cl)cc1S(=O)(=O)N(Cc1ccc(F)cc1)Cc1ccc(CN(Cc2ccc(F)cc2)S(=O)(=O)c2cc(Cl)cc(Cl)c2O)cc1,00000000000000000000000000000000110000000010000000010001001111001001000001000000010000111100001001001011001100001100010000101101001100101011101111101010110111110111110
13,Fc1ccc(C#N)c2[nH]cc(C(=O)C(=O)N3CCN(CC3)C(=O)c3ccccc3)c12,00000000000000000000000000000000000000000110000000000000000000000100000010010001100101110000100111101100010100110000011011100100110000101110001001111001111010110111110
14,CCc1ccc2NC(=O)[C@@H](N([C@H](C(O)=O)c3ccc(Cl)cc3)C(=O)c2c1)c1ccc(Cl)cc1,00000000000000000001000000000000000000000000000000000000000000100000000000010001100001010000100101000101010100100010010011110101000100111101101111101011001111111111110
15,CN(C)CC[C@H](CSc1ccccc1)Nc1ccc(cc1S(=O)(=O)C(F)(F)F)S(=O)(=O)Nc1ncnc2CN(CCc12)C1CCN(Cc2ccccc2-c2cccc(Cl)c2)CC1,00000000000000000000000000000000110000100010000000010001001111101101010001110101110001111011011001101111111100011001111011101100111101111110101011111111010110111111110
16,OC(=O)[C@@H](N1[C@@H](c2ccc(Cl)cc2)C(=O)Nc2cc(Cl)ccc2C1=O)c1ccc(Cl)cc1,00000000000000000001000000000000000000000000000000000000000000100000000000010001100001010000100101000101010100100000010011110101000100111101101111101011001011110111110
17,CC(C)Oc1ccc(cc1F)-c1sc(nc1C(O)=O)-c1ccc2CCCN(C(=O)Nc3nc4ccccc4s3)c2c1,00000000000000000000000000000000000011000010000100000000000000100100000000110100110101011011000111101100011100110100011011110111100101111101101111111111111011111111110
18,OC(=O)[C@H](Cc1c[nH]c2ccccc12)NC(=O)c1cccnc1Cl,00000000000000000000000000000000000000000000000000000010000000000100000000000000100100010011100111100101110100110000010011010100000100101101001011100011001111110111110
19,C[C@H](N)C(=O)N[C@@H](Cc1cccc(c1)C(N)=O)C(=O)N1C[C@H]([C@@H]1C(=O)N[C@@H]1CCc2ccccc12)c1ccccc1,00000000100100000000000000000000000000000000000000000010000000100000000000010001000011000011100110001100110000110000011001100100100101001100101011111011011110111111110
20,CC(C)C[C@@H](NC(N)=N)C(=O)NCC(=O)N1CCC(CC1)c1cc(nn1C)-c1ccc(OCc2ccc(cc2)C(O)=O)c(Cl)c1Cl,00000000000000000000000001000000000000000001000000001010000000100100000000110111101111110011111110101001101111110101011111111111110110101111111111111111111111111111110
21,COC[C@@H]1Cc2ccccc2CN1C(=O)c1ccccc1-n1nc(cc1C)C(=O)N(c1ccccc1)c1ccccc1,00000000000000000000000000000000000000000000000000001000000000100100000000010001100101100000111111101100010011110001010011101110010001011110001011101110011111111111110
22,Nc1ccc(C(=O)N[C@@H](Cc2c[nH]c3ccccc23)C(O)=O)c(Cl)c1,00000000000000000000000000000000000000000000000000000010000000000100000000000000000110010011100110000101110100110000010001010100000101111101001011100011001111110111110
23,COc1cccc(n1)-c1nc(C(O)=O)c(-c2ccc(F)c(Cl)c2)n1-c1cc(Cl)ccc1C,00000000000000000000000000000000000000100010000000000000000000100100000000010101000101010000110111100001000100100100010011110111000001110101001111101110001011111111110
24,Cc1cc2CN(CCc2c(C)c1C(=O)N[C@@H](CNC(=O)c1cccs1)C(O)=O)C(=O)c1ccc2CCOc2c1,00000000000000000000000000000000000010000000000000000110010000000000000000010001011101101010100111101100110011110100111011110100110110001111101011111111111111111111110
25,COc1c(Nc2ccnc3[C@@H](O)CCc23)ccc(NCCc2c[nH]c3c(cccc23)C(C)=C)c1F,00000000000000000000000000000000001000000010000000100000000000000100000000001000101100010011010111111100110100010100001011000111000111110101001111010111110111111111110
26,CC(C)c1ccccc1Sc1ccc(cc1C(F)(F)F)-c1ccnc(c1)N1CCCCC1,00000000000000000000000000000000000000100010000000000000000100101100000000110100010001101000000000101000001100011000001011100100110001110110001011011110010010101111010
27,CCN(C(=O)c1cc(C)n(n1)-c1ccccc1C(=O)N1CCc2ccccc2C1)c1ccccc1,00000000000000000000000000000000000000000000000000001000000000100100000000010001100101100000101111101100010000110010011011101100110001011110001011011110011110111111110
28,FC(F)(F)c1c(Sc2ccccc2OCc2cccnc2)ccc(\C=C\C(=O)N2CCOCC2)c1C(F)(F)F,00000000000000000000000000000000000000000010000000000000010100001100000000010000010001101000100101111000001101111100011011100111110010100110001111111010111111110111110
29,CCOc1cc(Nc2ccnc3[C@H](O)CCCc23)ccc1NCCc1c[nH]c2cc(OC)ccc12,00000000000000000000000000000000000000000000000000000000000000000100000000000000101100000011010111101100110001010110001011000111100111010111001111110111110111111111110
30,CC(=O)OCc1cc(Nc2ccc(NCCc3c[nH]c4ccccc34)cc2)ccn1,00000000000000000000000000000000000000000000000000000000000000000100000000000000101100000011000110101100110001010000101011010110000101010110001001010001011111111111110
